rule,F_present,F_confidence,F_lift,F_support,M_present,M_confidence,M_lift,M_support
(eda_scr_amp_low) => eda_scr_amp_low before eda_scr_auc_medium,False,,,,True,0.5846,0.6195,0.5352
(eda_scr_amp_low) => eda_scr_amp_low before eda_std_medium,False,,,,True,0.6308,0.6308,0.5775
(eda_scr_amp_low) => eda_scr_amp_low equals eda_scr_auc_low,True,0.7045,0.9033,0.62,True,0.6615,0.77,0.6056
(eda_scr_amp_low) => eda_scr_amp_low equals eda_std_medium,True,0.5455,0.6198,0.48,False,,,
(eda_scr_amp_low) => eda_scr_amp_low is-finished-by hr_medium,True,0.5,0.5814,0.44,False,,,
(eda_scr_amp_low) => eda_scr_amp_low meets arousal_medium,True,0.5,0.5102,0.44,False,,,
(eda_scr_amp_low) => eda_scr_amp_low meets eda_peaks_high,True,0.5,0.5,0.44,False,,,
(eda_scr_amp_low) => eda_scr_amp_low meets eda_peaks_medium,True,0.5682,0.6044,0.5,True,0.6154,0.6242,0.5634
(eda_scr_amp_low) => eda_scr_amp_low meets eda_scr_amp_high,False,,,,True,0.5077,0.5224,0.4648
(eda_scr_amp_low) => eda_scr_amp_low meets eda_scr_amp_low,True,0.5682,0.6457,0.5,False,,,
(eda_scr_amp_low) => eda_scr_amp_low meets eda_scr_auc_high,True,0.6136,0.6262,0.54,True,0.6769,0.6769,0.6197
(eda_scr_amp_low) => eda_scr_amp_low meets eda_scr_auc_medium,True,0.6364,0.74,0.56,False,,,
(eda_scr_amp_low) => eda_scr_amp_low meets valence_medium,True,0.6591,0.6591,0.58,True,0.6154,0.6154,0.5634
(eda_scr_amp_low) => eda_scr_amp_low starts eda_std_high,False,,,,True,0.6615,0.6807,0.6056
(eda_scr_amp_medium) => eda_scr_amp_medium before eda_peaks_medium,True,0.5,0.5319,0.36,True,0.5849,0.5933,0.4366
(eda_scr_amp_medium) => eda_scr_amp_medium before eda_scr_amp_low,True,0.5278,0.5997,0.38,False,,,
(eda_scr_amp_medium) => eda_scr_amp_medium before eda_scr_auc_low,True,0.5,0.641,0.36,False,,,
(eda_scr_amp_medium) => eda_scr_amp_medium before eda_scr_auc_medium,True,0.5,0.5814,0.36,False,,,
(eda_scr_amp_medium) => eda_scr_amp_medium before eda_std_medium,True,0.6111,0.6944,0.44,False,,,
(eda_scr_amp_medium) => eda_scr_amp_medium before hr_high,True,0.5,0.5814,0.36,False,,,
(eda_scr_amp_medium) => eda_scr_amp_medium equals eda_std_high,False,,,,True,0.7547,0.7766,0.5634
(eda_scr_amp_medium) => eda_scr_amp_medium is-finished-by eda_peaks_high,False,,,,True,0.5472,0.5472,0.4085
(eda_scr_amp_medium) => eda_scr_amp_medium meets eda_peaks_high,True,0.5278,0.5278,0.38,False,,,
(eda_scr_amp_medium) => eda_scr_amp_medium meets eda_scr_amp_high,True,0.5556,0.591,0.4,False,,,
(eda_scr_amp_medium) => eda_scr_amp_medium meets eda_scr_auc_high,False,,,,True,0.7358,0.7358,0.5493
(eda_scr_amp_medium) => eda_scr_amp_medium meets eda_std_medium,False,,,,True,0.566,0.566,0.4225
(eda_scr_amp_medium) => eda_scr_amp_medium starts arousal_medium,True,0.5,0.5102,0.36,True,0.6792,0.6792,0.507
(eda_scr_amp_medium) => eda_scr_amp_medium starts eda_scr_auc_high,True,0.7778,0.7937,0.56,False,,,
(eda_scr_amp_medium) => eda_scr_amp_medium starts eda_std_high,True,0.5278,0.5385,0.38,False,,,
(eda_scr_amp_medium) => eda_scr_amp_medium starts valence_medium,True,0.5278,0.5278,0.38,True,0.6226,0.6226,0.4648
(eda_scr_auc_high) => eda_scr_auc_high before eda_peaks_high,True,0.5918,0.5918,0.58,False,,,
(eda_scr_auc_high) => eda_scr_auc_high before eda_scr_auc_low,False,,,,True,0.5634,0.6557,0.5634
(eda_scr_auc_high) => eda_scr_auc_high equals eda_std_high,True,0.7143,0.7289,0.7,False,,,
(eda_scr_auc_high) => eda_scr_auc_high meets eda_max_low,False,,,,True,0.507,0.507,0.507
(eda_scr_auc_high) => eda_scr_auc_high meets eda_peaks_high,False,,,,True,0.5211,0.5211,0.5211
