rule,old_F_present,old_F_confidence,old_F_support,old_M_present,young_F_present,young_F_confidence,young_F_support,young_M_present,old_M_confidence,old_M_support,young_M_confidence,young_M_support
(eda_low) => eda_low before eda_scr_amp_low,True,0.5294,0.5,False,False,,,False,,,,
(eda_low) => eda_low before eda_scr_amp_medium,False,,,True,False,,,False,0.6512,0.6512,,
(eda_low) => eda_low before eda_scr_auc_high,False,,,False,True,0.6,0.5625,True,,,0.6786,0.6786
(eda_low) => eda_low before eda_scr_auc_medium,False,,,True,False,,,False,0.6977,0.6977,,
(eda_low) => eda_low before eda_std_medium,False,,,True,False,,,False,0.814,0.814,,
(eda_low) => eda_low before hr_medium,True,0.5294,0.5,False,False,,,False,,,,
(eda_low) => eda_low contains eda_peaks_high,False,,,False,True,0.7333,0.6875,False,,,,
(eda_low) => eda_low contains eda_peaks_medium,False,,,False,True,0.6,0.5625,False,,,,
(eda_low) => eda_low contains eda_scr_amp_high,False,,,False,False,,,True,,,0.7143,0.7143
(eda_low) => eda_low contains eda_scr_auc_high,True,0.5294,0.5,False,False,,,False,,,,
(eda_low) => eda_low contains eda_scr_auc_low,False,,,False,True,0.6,0.5625,False,,,,
(eda_low) => eda_low contains eda_scr_auc_medium,True,0.7059,0.6667,False,False,,,False,,,,
(eda_low) => eda_low contains eda_std_medium,True,0.6471,0.6111,False,False,,,False,,,,
(eda_low) => eda_low equals eda_max_medium,False,,,False,True,0.5667,0.5312,False,,,,
(eda_low) => eda_low equals eda_scr_amp_low,False,,,False,True,0.5667,0.5312,False,,,,
(eda_low) => eda_low equals valence_medium,False,,,False,True,0.7,0.6562,False,,,,
(eda_low) => eda_low is-finished-by eda_max_low,True,0.5882,0.5556,True,False,,,True,0.7674,0.7674,0.8571,0.8571
(eda_low) => eda_low is-finished-by eda_peaks_high,True,0.6471,0.6111,False,False,,,True,,,0.5714,0.5714
(eda_low) => eda_low is-finished-by eda_scr_amp_high,True,0.5882,0.5556,False,False,,,False,,,,
(eda_low) => eda_low is-finished-by eda_std_high,False,,,False,False,,,True,,,0.75,0.75
(eda_low) => eda_low meets arousal_medium,True,0.7647,0.7222,True,True,0.5667,0.5312,False,0.8372,0.8372,,
(eda_low) => eda_low meets eda_low,True,0.6471,0.6111,True,True,0.6,0.5625,False,0.6744,0.6744,,
(eda_low) => eda_low meets eda_peaks_high,False,,,True,False,,,False,0.6279,0.6279,,
(eda_low) => eda_low meets eda_peaks_low,False,,,False,True,0.5333,0.5,False,,,,
(eda_low) => eda_low meets eda_peaks_medium,True,0.7647,0.7222,False,False,,,True,,,0.7857,0.7857
(eda_low) => eda_low meets eda_scr_auc_high,False,,,True,False,,,False,0.6977,0.6977,,
(eda_low) => eda_low meets eda_scr_auc_low,True,0.7647,0.7222,False,False,,,True,,,0.6071,0.6071
(eda_low) => eda_low meets eda_std_high,False,,,True,False,,,False,0.6047,0.6047,,
(eda_low) => eda_low meets eda_std_low,True,0.7059,0.6667,False,False,,,False,,,,
(eda_low) => eda_low meets valence_medium,True,0.8235,0.7778,True,False,,,True,0.7674,0.7674,0.7857,0.7857
(eda_low) => eda_low starts eda_scr_amp_low,False,,,False,False,,,True,,,0.6071,0.6071
(eda_low) => eda_low starts eda_std_high,False,,,False,True,0.5,0.4688,False,,,,
(eda_low) => eda_low starts eda_std_medium,False,,,False,False,,,True,,,0.7143,0.7143
(eda_max_high) => eda_max_high before eda_peaks_low,False,,,False,False,,,True,,,0.5714,0.5714
(eda_max_high) => eda_max_high before eda_scr_auc_medium,False,,,False,False,,,True,,,0.5,0.5
(eda_max_high) => eda_max_high before eda_std_high,False,,,True,True,0.5333,0.5,False,0.6977,0.6977,,
(eda_max_high) => eda_max_high contains eda_peaks_medium,False,,,True,False,,,False,0.814,0.814,,
(eda_max_high) => eda_max_high contains eda_scr_amp_high,False,,,True,True,0.6333,0.5938,True,0.6279,0.6279,0.5714,0.5714
(eda_max_high) => eda_max_high contains eda_scr_amp_low,False,,,False,True,0.6,0.5625,False,,,,
(eda_max_high) => eda_max_high contains eda_scr_auc_high,False,,,True,True,0.7333,0.6875,False,0.814,0.814,,
(eda_max_high) => eda_max_high contains eda_scr_auc_low,False,,,True,False,,,False,0.6047,0.6047,,
(eda_max_high) => eda_max_high contains eda_scr_auc_medium,False,,,True,True,0.5,0.4688,False,0.6279,0.6279,,
(eda_max_high) => eda_max_high contains hr_high,True,0.5556,0.5556,False,False,,,False,,,,
(eda_max_high) => eda_max_high equals eda_scr_auc_high,False,,,False,False,,,True,,,0.7143,0.7143
(eda_max_high) => eda_max_high equals eda_std_high,True,0.6111,0.6111,False,False,,,True,,,0.6429,0.6429
(eda_max_high) => eda_max_high equals valence_medium,False,,,True,True,0.5667,0.5312,False,0.6047,0.6047,,
(eda_max_high) => eda_max_high is-finished-by eda_peaks_high,False,,,False,True,0.7333,0.6875,False,,,,
(eda_max_high) => eda_max_high is-finished-by eda_peaks_medium,True,0.7222,0.7222,False,False,,,False,,,,
(eda_max_high) => eda_max_high is-finished-by eda_scr_amp_low,True,0.6111,0.6111,True,False,,,False,0.5349,0.5349,,
(eda_max_high) => eda_max_high is-finished-by eda_scr_amp_medium,False,,,True,False,,,False,0.5581,0.5581,,
(eda_max_high) => eda_max_high is-finished-by eda_scr_auc_high,True,0.7778,0.7778,False,False,,,False,,,,
(eda_max_high) => eda_max_high is-finished-by eda_scr_auc_low,True,0.5,0.5,False,False,,,False,,,,
(eda_max_high) => eda_max_high is-finished-by eda_std_medium,True,0.5556,0.5556,True,False,,,False,0.6047,0.6047,,
(eda_max_high) => eda_max_high is-finished-by hr_medium,False,,,False,True,0.5,0.4688,False,,,,
(eda_max_high) => eda_max_high is-finished-by valence_high,False,,,False,True,0.5,0.4688,False,,,,
(eda_max_high) => eda_max_high meets arousal_medium,True,0.6667,0.6667,True,True,0.5,0.4688,True,0.5581,0.5581,0.5,0.5
(eda_max_high) => eda_max_high meets eda_high,True,0.6111,0.6111,True,True,0.6667,0.625,True,0.6279,0.6279,0.6071,0.6071
(eda_max_high) => eda_max_high meets eda_max_high,True,0.7778,0.7778,True,True,0.6333,0.5938,True,0.6279,0.6279,0.5357,0.5357
(eda_max_high) => eda_max_high meets eda_peaks_high,True,0.5,0.5,False,False,,,True,,,0.6071,0.6071
(eda_max_high) => eda_max_high meets eda_peaks_medium,False,,,False,True,0.7,0.6562,True,,,0.6786,0.6786
(eda_max_high) => eda_max_high meets eda_scr_auc_medium,True,0.6111,0.6111,False,False,,,False,,,,
(eda_max_high) => eda_max_high meets eda_std_medium,False,,,False,True,0.6,0.5625,True,,,0.6786,0.6786
(eda_max_high) => eda_max_high overlaps eda_scr_amp_low,False,,,False,False,,,True,,,0.75,0.75
(eda_max_high) => eda_max_high overlaps valence_medium,False,,,False,False,,,True,,,0.5714,0.5714
(eda_max_high) => eda_max_high starts hr_high,False,,,False,False,,,True,,,0.5,0.5
(eda_max_low) => eda_max_low before arousal_medium,False,,,True,False,,,False,0.8605,0.8605,,
(eda_max_low) => eda_max_low before eda_low,True,0.6471,0.6111,True,False,,,False,0.7442,0.7442,,
(eda_max_low) => eda_max_low before eda_max_low,True,0.8824,0.8333,True,False,,,False,0.6744,0.6744,,
(eda_max_low) => eda_max_low before eda_scr_amp_medium,False,,,True,False,,,False,0.6279,0.6279,,
(eda_max_low) => eda_max_low before eda_scr_auc_low,True,0.7647,0.7222,False,False,,,False,,,,
(eda_max_low) => eda_max_low before eda_std_low,True,0.7059,0.6667,False,False,,,False,,,,
(eda_max_low) => eda_max_low before valence_medium,True,0.7647,0.7222,True,False,,,True,0.8837,0.8837,0.75,0.75
(eda_max_low) => eda_max_low contains eda_peaks_high,False,,,False,True,0.8065,0.7812,False,,,,
(eda_max_low) => eda_max_low contains eda_std_medium,True,0.5882,0.5556,False,False,,,True,,,0.7857,0.7857
(eda_max_low) => eda_max_low contains hr_low,True,0.5882,0.5556,False,False,,,False,,,,
(eda_max_low) => eda_max_low equals eda_peaks_high,False,,,True,False,,,False,0.6977,0.6977,,
(eda_max_low) => eda_max_low equals eda_std_medium,False,,,True,False,,,False,0.6977,0.6977,,
(eda_max_low) => eda_max_low equals valence_medium,False,,,False,True,0.7097,0.6875,False,,,,
(eda_max_low) => eda_max_low is-finished-by eda_peaks_high,True,0.6471,0.6111,False,False,,,True,,,0.8214,0.8214
(eda_max_low) => eda_max_low is-finished-by eda_peaks_medium,True,0.8235,0.7778,True,True,0.6129,0.5938,True,0.7907,0.7907,0.7857,0.7857
